Station,Station.code,Region,Reference Station,Day,curr.mean,curr.max,ms.mean,ms.max
"Strawberry I., 0.8 mi W of",J,Rosario,Rosario Strait,12,1.325,3.1,0.68105,1.5934
"Strawberry I., 0.8 mi W of",J,Rosario,Rosario Strait,13,1.966666667,3.1,1.010866667,1.5934
"Strawberry I., 0.8 mi W of",J,Rosario,Rosario Strait,14,1.7,3.2,0.8738,1.6448
"Strawberry I., 0.8 mi W of",J,Rosario,Rosario Strait,15,1.925,3.2,0.98945,1.6448
"Strawberry I., 0.8 mi W of",J,Rosario,Rosario Strait,16,2.175,3.4,1.11795,1.7476
"Strawberry I., 0.8 mi W of",J,Rosario,Rosario Strait,17,2.4,3.4,1.2336,1.7476
"Strawberry I., 0.8 mi W of",J,Rosario,Rosario Strait,18,2.575,3.4,1.32355,1.7476
"Strawberry I., 0.8 mi W of",J,Rosario,Rosario Strait,19,2.625,3.2,1.34925,1.6448
"Strawberry I., 0.8 mi W of",J,Rosario,Rosario Strait,20,2.333333333,2.8,1.199333333,1.4392
"Strawberry I., 0.8 mi W of",J,Rosario,Rosario Strait,21,2.475,3.5,1.27215,1.799
"Strawberry I., 0.8 mi W of",J,Rosario,Rosario Strait,22,2.35,3.6,1.2079,1.8504
"Strawberry I., 0.8 mi W of",J,Rosario,Rosario Strait,23,2.175,3.6,1.11795,1.8504
"Strawberry I., 0.8 mi W of",J,Rosario,Rosario Strait,24,1.975,3.6,1.01515,1.8504
"Strawberry I., 0.8 mi W of",J,Rosario,Rosario Strait,25,1.725,3.5,0.88665,1.799
"Strawberry I., 0.8 mi W of",J,Rosario,Rosario Strait,26,1.725,3.5,0.88665,1.799
"Strawberry I., 0.8 mi W of",J,Rosario,Rosario Strait,27,2.266666667,3.5,1.165066667,1.799
"Strawberry I., 0.8 mi W of",J,Rosario,Rosario Strait,28,1.975,3.5,1.01515,1.799
"Strawberry I., 0.8 mi W of",J,Rosario,Rosario Strait,29,2.225,3.5,1.14365,1.799
"Strawberry I., 0.8 mi W of",J,Rosario,Rosario Strait,30,2.45,3.5,1.2593,1.799
"Strawberry I., 0.8 mi W of",J,Rosario,Rosario Strait,31,2.65,3.5,1.3621,1.799
Harney Channel,K,Sound,"San Juan Channel, South Entrance",1,0.85,1.2,0.4369,0.6168
Harney Channel,K,Sound,"San Juan Channel, South Entrance",2,0.825,1.1,0.42405,0.5654
Harney Channel,K,Sound,"San Juan Channel, South Entrance",3,0.8,1.1,0.4112,0.5654
Harney Channel,K,Sound,"San Juan Channel, South Entrance",4,0.725,0.9,0.37265,0.4626
Harney Channel,K,Sound,"San Juan Channel, South Entrance",5,0.65,0.8,0.3341,0.4112
Harney Channel,K,Sound,"San Juan Channel, South Entrance",6,0.5,0.6,0.257,0.3084
Harney Channel,K,Sound,"San Juan Channel, South Entrance",7,0.5,0.8,0.257,0.4112
Harney Channel,K,Sound,"San Juan Channel, South Entrance",8,0.45,0.8,0.2313,0.4112
Harney Channel,K,Sound,"San Juan Channel, South Entrance",9,0.4,0.7,0.2056,0.3598
Harney Channel,K,Sound,"San Juan Channel, South Entrance",10,0.4,0.7,0.2056,0.3598
Harney Channel,K,Sound,"San Juan Channel, South Entrance",11,0.425,0.7,0.21845,0.3598
Harney Channel,K,Sound,"San Juan Channel, South Entrance",12,0.5,0.8,0.257,0.4112
Harney Channel,K,Sound,"San Juan Channel, South Entrance",13,0.633333333,0.8,0.325533333,0.4112
Harney Channel,K,Sound,"San Juan Channel, South Entrance",14,0.6,0.9,0.3084,0.4626
Harney Channel,K,Sound,"San Juan Channel, South Entrance",15,0.65,0.9,0.3341,0.4626
Harney Channel,K,Sound,"San Juan Channel, South Entrance",16,0.725,1,0.37265,0.514
Harney Channel,K,Sound,"San Juan Channel, South Entrance",17,0.775,1,0.39835,0.514
Harney Channel,K,Sound,"San Juan Channel, South Entrance",18,0.825,1,0.42405,0.514
Harney Channel,K,Sound,"San Juan Channel, South Entrance",19,0.8,1,0.4112,0.514
Harney Channel,K,Sound,"San Juan Channel, South Entrance",20,0.75,1,0.3855,0.514
Harney Channel,K,Sound,"San Juan Channel, South Entrance",21,0.725,1,0.37265,0.514
Harney Channel,K,Sound,"San Juan Channel, South Entrance",22,0.566666667,0.6,0.291266667,0.3084
Harney Channel,K,Sound,"San Juan Channel, South Entrance",23,0.625,1,0.32125,0.514
Harney Channel,K,Sound,"San Juan Channel, South Entrance",24,0.55,0.9,0.2827,0.4626
Harney Channel,K,Sound,"San Juan Channel, South Entrance",25,0.55,0.9,0.2827,0.4626
Harney Channel,K,Sound,"San Juan Channel, South Entrance",26,0.625,0.9,0.32125,0.4626
Harney Channel,K,Sound,"San Juan Channel, South Entrance",27,0.833333333,1,0.428333333,0.514
Harney Channel,K,Sound,"San Juan Channel, South Entrance",28,0.725,1,0.37265,0.514
Harney Channel,K,Sound,"San Juan Channel, South Entrance",29,0.775,1,0.39835,0.514
Harney Channel,K,Sound,"San Juan Channel, South Entrance",30,0.8,1,0.4112,0.514
Harney Channel,K,Sound,"San Juan Channel, South Entrance",31,0.8,1,0.4112,0.514
"Frost-Willow Island, between",L,Sound,Rosario Strait,1,0.875,1.3,0.44975,0.6682
"Frost-Willow Island, between",L,Sound,Rosario Strait,2,0.925,1.3,0.47545,0.6682
"Frost-Willow Island, between",L,Sound,Rosario Strait,3,0.925,1.3,0.47545,0.6682
"Frost-Willow Island, between",L,Sound,Rosario Strait,4,0.933333333,1.3,0.479733333,0.6682
"Frost-Willow Island, between",L,Sound,Rosario Strait,5,0.85,1.1,0.4369,0.5654
"Frost-Willow Island, between",L,Sound,Rosario Strait,6,0.775,1,0.39835,0.514
"Frost-Willow Island, between",L,Sound,Rosario Strait,7,0.675,0.9,0.34695,0.4626
"Frost-Willow Island, between",L,Sound,Rosario Strait,8,0.625,0.9,0.32125,0.4626
"Frost-Willow Island, between",L,Sound,Rosario Strait,9,0.525,0.9,0.26985,0.4626
"Frost-Willow Island, between",L,Sound,Rosario Strait,10,0.425,0.8,0.21845,0.4112
"Frost-Willow Island, between",L,Sound,Rosario Strait,11,0.4,0.8,0.2056,0.4112
"Frost-Willow Island, between",L,Sound,Rosario Strait,12,0.566666667,0.9,0.291266667,0.4626
"Frost-Willow Island, between",L,Sound,Rosario Strait,13,0.525,0.9,0.26985,0.4626
"Frost-Willow Island, between",L,Sound,Rosario Strait,14,0.575,0.9,0.29555,0.4626
"Frost-Willow Island, between",L,Sound,Rosario Strait,15,0.625,1,0.32125,0.514
"Frost-Willow Island, between",L,Sound,Rosario Strait,16,0.725,1.1,0.37265,0.5654
"Frost-Willow Island, between",L,Sound,Rosario Strait,17,0.825,1.1,0.42405,0.5654
"Frost-Willow Island, between",L,Sound,Rosario Strait,18,0.85,1.1,0.4369,0.5654
"Frost-Willow Island, between",L,Sound,Rosario Strait,19,0.875,1.1,0.44975,0.5654
"Frost-Willow Island, between",L,Sound,Rosario Strait,20,0.866666667,1.1,0.445466667,0.5654
"Frost-Willow Island, between",L,Sound,Rosario Strait,21,0.875,1,0.44975,0.514
"Frost-Willow Island, between",L,Sound,Rosario Strait,22,0.775,1,0.39835,0.514
"Frost-Willow Island, between",L,Sound,Rosario Strait,23,0.725,1,0.37265,0.514
"Frost-Willow Island, between",L,Sound,Rosario Strait,24,0.65,1,0.3341,0.514
"Frost-Willow Island, between",L,Sound,Rosario Strait,25,0.6,1,0.3084,0.514
"Frost-Willow Island, between",L,Sound,Rosario Strait,26,0.575,1,0.29555,0.514
"Frost-Willow Island, between",L,Sound,Rosario Strait,27,0.733333333,1,0.376933333,0.514
"Frost-Willow Island, between",L,Sound,Rosario Strait,28,0.675,1,0.34695,0.514
"Frost-Willow Island, between",L,Sound,Rosario Strait,29,0.75,1.1,0.3855,0.5654
"Frost-Willow Island, between",L,Sound,Rosario Strait,30,0.825,1.1,0.42405,0.5654
"Frost-Willow Island, between",L,Sound,Rosario Strait,31,0.9,1.1,0.4626,0.5654
Hazel Point,M,Hood,Admiralty Inlet,1,0.775,1.1,0.39835,0.5654
Hazel Point,M,Hood,Admiralty Inlet,2,0.7925,1.1,0.407345,0.5654
Hazel Point,M,Hood,Admiralty Inlet,3,0.765,1,0.39321,0.514
Hazel Point,M,Hood,Admiralty Inlet,4,0.72,0.9,0.37008,0.4626
Hazel Point,M,Hood,Admiralty Inlet,5,0.6725,0.8,0.345665,0.4112
Hazel Point,M,Hood,Admiralty Inlet,6,0.6125,0.8,0.314825,0.4112
Hazel Point,M,Hood,Admiralty Inlet,7,0.436666667,0.5,0.224446667,0.257
Hazel Point,M,Hood,Admiralty Inlet,8,0.465,0.8,0.23901,0.4112
Hazel Point,M,Hood,Admiralty Inlet,9,0.4125,0.8,0.212025,0.4112
Hazel Point,M,Hood,Admiralty Inlet,10,0.3725,0.7,0.191465,0.3598
Hazel Point,M,Hood,Admiralty Inlet,11,0.3725,0.7,0.191465,0.3598
Hazel Point,M,Hood,Admiralty Inlet,12,0.39,0.7,0.20046,0.3598
Hazel Point,M,Hood,Admiralty Inlet,13,0.4675,0.8,0.240295,0.4112
Hazel Point,M,Hood,Admiralty Inlet,14,0.643333333,0.8,0.330673333,0.4112
Hazel Point,M,Hood,Admiralty Inlet,15,0.5875,0.9,0.301975,0.4626
Hazel Point,M,Hood,Admiralty Inlet,16,0.64,0.9,0.32896,0.4626
Hazel Point,M,Hood,Admiralty Inlet,17,0.665,0.9,0.34181,0.4626
Hazel Point,M,Hood,Admiralty Inlet,18,0.7075,0.9,0.363655,0.4626
Hazel Point,M,Hood,Admiralty Inlet,19,0.74,0.9,0.38036,0.4626
Hazel Point,M,Hood,Admiralty Inlet,20,0.715,0.9,0.36751,0.4626
Hazel Point,M,Hood,Admiralty Inlet,21,0.705,1,0.36237,0.514
Hazel Point,M,Hood,Admiralty Inlet,22,0.543333333,0.6,0.279273333,0.3084
Hazel Point,M,Hood,Admiralty Inlet,23,0.61,1,0.31354,0.514
Hazel Point,M,Hood,Admiralty Inlet,24,0.535,0.9,0.27499,0.4626
Hazel Point,M,Hood,Admiralty Inlet,25,0.52,0.9,0.26728,0.4626
Hazel Point,M,Hood,Admiralty Inlet,26,0.53,0.9,0.27242,0.4626
Hazel Point,M,Hood,Admiralty Inlet,27,0.425,0.9,0.21845,0.4626
Hazel Point,M,Hood,Admiralty Inlet,28,0.75,0.9,0.3855,0.4626
Hazel Point,M,Hood,Admiralty Inlet,29,0.6975,1,0.358515,0.514
Hazel Point,M,Hood,Admiralty Inlet,30,0.7425,1,0.381645,0.514
Hazel Point,M,Hood,Admiralty Inlet,31,0.7575,0.9,0.389355,0.4626
The Great Bend,N,Hood,Admiralty Inlet,1,0.6275,0.93,0.322535,0.47802
The Great Bend,N,Hood,Admiralty Inlet,2,0.64,0.91,0.32896,0.46774
The Great Bend,N,Hood,Admiralty Inlet,3,0.3875,0.86,0.199175,0.44204
The Great Bend,N,Hood,Admiralty Inlet,4,0.6,0.77,0.3084,0.39578
The Great Bend,N,Hood,Admiralty Inlet,5,0.5575,0.67,0.286555,0.34438
The Great Bend,N,Hood,Admiralty Inlet,6,0.4975,0.58,0.255715,0.29812
The Great Bend,N,Hood,Admiralty Inlet,7,0.396666667,0.43,0.203886667,0.22102
The Great Bend,N,Hood,Admiralty Inlet,8,0.3125,0.56,0.160625,0.28784
The Great Bend,N,Hood,Admiralty Inlet,9,0.3325,0.54,0.170905,0.27756
The Great Bend,N,Hood,Admiralty Inlet,10,0.305,0.52,0.15677,0.26728
The Great Bend,N,Hood,Admiralty Inlet,11,0.305,0.51,0.15677,0.26214
The Great Bend,N,Hood,Admiralty Inlet,12,0.3325,0.52,0.170905,0.26728
The Great Bend,N,Hood,Admiralty Inlet,13,0.3775,0.56,0.194035,0.28784
The Great Bend,N,Hood,Admiralty Inlet,14,0.52,0.63,0.26728,0.32382
The Great Bend,N,Hood,Admiralty Inlet,15,0.465,0.69,0.23901,0.35466
The Great Bend,N,Hood,Admiralty Inlet,16,0.5125,0.73,0.263425,0.37522
The Great Bend,N,Hood,Admiralty Inlet,17,0.5525,0.75,0.283985,0.3855
The Great Bend,N,Hood,Admiralty Inlet,18,0.5825,0.74,0.299405,0.38036
The Great Bend,N,Hood,Admiralty Inlet,19,0.595,0.7,0.30583,0.3598
The Great Bend,N,Hood,Admiralty Inlet,20,0.5925,0.65,0.304545,0.3341
The Great Bend,N,Hood,Admiralty Inlet,21,0.5725,0.67,0.294265,0.34438
The Great Bend,N,Hood,Admiralty Inlet,22,0.486666667,0.57,0.250146667,0.29298
The Great Bend,N,Hood,Admiralty Inlet,23,0.4925,0.67,0.253145,0.34438
The Great Bend,N,Hood,Admiralty Inlet,24,0.4525,0.66,0.232585,0.33924
The Great Bend,N,Hood,Admiralty Inlet,25,0.4275,0.64,0.219735,0.32896
The Great Bend,N,Hood,Admiralty Inlet,26,0.4425,0.64,0.227445,0.32896
The Great Bend,N,Hood,Admiralty Inlet,27,0.33,0.64,0.16962,0.32896
The Great Bend,N,Hood,Admiralty Inlet,28,0.54,0.75,0.27756,0.3855
The Great Bend,N,Hood,Admiralty Inlet,29,0.653333333,0.78,0.335813333,0.40092
The Great Bend,N,Hood,Admiralty Inlet,30,0.6,0.78,0.3084,0.40092
The Great Bend,N,Hood,Admiralty Inlet,31,0.4825,0.75,0.248005,0.3855
