"","site","site.no","region","region.col","richness","richplus","mob.count","mob.rich","space.per","sedim.per","space","sedim","NMDS1","NMDS2"
"1","FI",11,"Sound","lightblue1",6.5,8,1.8125,1.3125,11.37,37.5025,0.113671875,0.375,-0.236062536401457,-0.339070412393312
"2","HH",10,"Sound","lightblue1",4.4375,5.1875,0.875,0.75,3.516875,59.104375,0.03515625,0.591015625,-0.227657387481603,-0.40745288638205
"3","KB",2,"Haro","red",16.79166667,18.58333333,4.458333333,2.875,21.38291667,0,0.213802083,0,0.347691374568884,0.0539102765221049
"4","LB",13,"Georgia","green",10.125,11.625,3.916666667,2.666666667,11.14833333,2.55375,0.111458333,0.025520833,0.202495286418155,0.18294780541666
"5","LI",4,"Haro","red",11.33333333,13.25,15.04166667,3.875,27.00791667,0,0.270052083,0,0.153361979554612,-0.0055086970563078
"6","LK",3,"Haro","red",10.91666667,12.875,5.5,3.625,36.64208333,0,0.36640625,0,0.409228333022249,0.194127252138333
"7","LP",14,"Georgia","green",13.375,15.25,5.208333333,3.333333333,27.71,3.230416667,0.277083333,0.032291667,0.200975424244294,0.0460230207845515
"8","ON",5,"Channel","yellow",10.16666667,12.125,2.958333333,2.125,24.27333333,2.500416667,0.242791667,0.025041667,-0.0725143132269392,0.146303472754655
"9","PG",7,"Channel","yellow",9.166666667,11.08333333,10.125,3.5,35.20958333,0,0.352208333,0,0.237437588819777,0.123574944688282
"10","PP",16,"Hood","blue",6.625,8.625,0.833333333,0.708333333,35.67958333,24.455,0.356770833,0.24453125,-0.545099732581131,0.260507121296614
"11","PW",17,"Hood","blue",3.1875,4.125,0.5625,0.5625,30.39375,61.330625,0.30390625,0.61328125,-0.439950087732408,0.174638166470888
"12","RW",9,"Sound","lightblue1",6.416666667,8.375,1.541666667,1.208333333,29.8725,37.37291667,0.298697917,0.373697917,0.111828105184885,-0.431166653125433
"13","SC",6,"Channel","yellow",12.41666667,14.16666667,2.958333333,2.166666667,22.50166667,0,0.225166667,0,0.127439020257306,0.198944358077975
"14","SI",15,"Georgia","green",10.2,12,3.15,2.55,24.315,5.2195,0.243125,0.0521875,-0.435261191153799,0.285816868194562
"15","SR",18,"Hood","blue",2.6,2.6,0.3,0.3,0,99.314,0,0.993125,-0.334737443801857,-0.0154221611229377
"16","TI",8,"Channel","yellow",15.29166667,17.125,2.75,2.25,16.8,0,0.16796875,0,0.292131380524962,0.0254602939069206
"17","TP",1,"Haro","red",12.66666667,14.41666667,2.458333333,1.583333333,21.04458333,0,0.210416667,0,0.308829941810114,-0.076042263143167
"18","WI",12,"Sound","lightblue1",8.791666667,10.58333333,2.958333333,2.375,29.84541667,23.31,0.2984375,0.233072917,-0.100135742026045,-0.417590507028339
