"","quad","site","real.date","comm.date","month","urch","chit","treat","BASP","CCAP","EALM","RFSP","OPCA","RBSP","AGFI","BFSP","DICL","Cris","HEPA","PHPA","BRUP","HBCO","SPS1","SPS3","SPS8","SPS9","SPS10","SPOT","MSP1","SYSP","SCUN","BRSH","EUBI","DELI","HYSP","EPSC","BAEL","MEFA.t","GERU","DOCO","DOFE","TUBE","PSOC","VECO","BACR","PSCH","TETR","CHHA","POMA","META","PYST","PEAN","CLHU","DICA","TCM3","DITR","EUPU","SYPA","APPO","APSO","TCM2","TCOT","BOVI","Chel","Core","CNFI","HAIG","Stye","ASPA","TSV1","TSV2","TSOT","INOT","OTHE","SHEL","FUZZ","RUBB"
"16","ON3_79","ON","8-Dec-07",39426,712,"u_rem","c_rem","u_rem.c_rem",0.073855244,0.145248646,0.155096012,0,0,0,0,0,0,0,0,0,0,0.024618415,0.068931561,0.002461841,0,0.004923683,0,0.002461841,0,0,0.022156573,0.014771049,0.145248646,0,0,0,0.022279665,0,0,0,0,0.019694732,0.024864599,0.110782866,0,0,0.002461841,0,0,0.066592811,0,0,0,0,0,0,0,0.007385524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078778927,0.007385524
"17","ON4_71","ON","8-Dec-07",39426,712,"u_con","c_rem","u_con.c_rem",0.020222447,0.062914279,0.143804067,0,0,0,0,0,0,0,0,0,0,0.330299966,0.029210201,0,0,0,0,0.008987754,0,0,0.020222447,0.076395911,0.026963263,0.029210201,0.002246939,0,0.020222447,0,0,0,0,0.177508145,0.047298056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004493877,0,0
"18","ON4_72","ON","8-Dec-07",39426,712,"u_con","c_rem","u_con.c_rem",0.086569379,0.084095968,0.249814494,0,0,0,0,0,0,0,0,0,0,0.019787287,0.131090774,0.000247341,0,0,0,0.002473411,0,0,0.017313876,0.037101163,0.054415038,0,0,0,0.064432352,0,0,0,0,0.101409844,0.02745486,0,0,0.002473411,0.002473411,0.004946822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002597081,0.111303488,0
"19","ON4_73","ON","8-Dec-07",39426,712,"u_con","c_con","u_con.c_con",0.040122728,0.061600189,0.163323106,0,0,0,0,0,0,0,0,0,0,0.080245457,0.184092518,0.063724333,0,0,0,0,0,0,0.004720321,0.033042247,0,0.007080481,0.00236016,0,0.016639131,0,0,0,0,0.110927543,0.012390843,0.028439934,0,0.00236016,0.00236016,0,0,0.000118008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00236016,0,0,0,0.007080481,0.177012037,0
"20","ON4_74","ON","8-Dec-07",39426,712,"u_con","c_con","u_con.c_con",0.006889425,0.039154897,0.142840739,0,0,0,0,0,0,0,0,0,0,0.032150649,0.394993685,0.002296475,0,0,0,0,0,0,0.0091859,0.00459295,0.011482375,0.00459295,0.006889425,0,0.032265472,0,0,0,0,0.103571018,0.000114824,0,0,0.00459295,0.002296475,0,0.00459295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197496842,0
"21","ON5_25","ON","8-Dec-07",39426,712,"u_rem","c_con","u_rem.c_con",0,0.034242911,0.038523274,0,0,0,0,0,0,0,0,0,0,0.776886035,0.002140182,0,0,0.002140182,0,0,0,0,0,0,0,0,0.062065276,0,0.02835741,0,0,0,0,0.032102729,0,0,0,0.004280364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006420546,0.012841091,0
"22","ON5_88","ON","8-Dec-07",39426,712,"u_rem","c_rem","u_rem.c_rem",0,0.002235886,0.203465623,0,0,0,0,0,0,0,0,0,0,0.523197317,0.058133035,0.006707658,0,0,0,0,0,0,0.035774176,0.031302404,0,0,0,0,0.020458357,0,0,0,0,0.044829514,0.004583566,0,0,0.004471772,0,0,0,0.01117943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002235886,0,0,0,0,0,0,0.031302404,0.020122974,0
"23","ON5_89","ON","8-Dec-07",39426,712,"u_rem","c_con","u_rem.c_con",0.00904057,0.004633292,0.067804272,0,0,0,0,0,0,0,0,0,0,0.551474743,0.113007119,0.00904057,0,0,0,0,0,0,0.011300712,0,0,0,0.040682563,0,0.014012883,0,0,0,0,0.049723133,0.002599164,0,0,0,0,0,0,0.000113007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002260142,0,0,0,0,0.002260142,0.122047689,0
"24","ON5_91","ON","8-Dec-07",39426,712,"u_rem","c_rem","u_rem.c_rem",0.002216558,0.006649673,0.177324615,0,0,0,0,0,0,0,0,0,0,0.465477114,0.077579519,0.019949019,0,0,0,0.062063615,0,0,0.006649673,0.006649673,0,0,0.033248365,0,0.01573756,0,0,0,0,0.046547711,0.002327386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002216558,0,0,0,0,0,0,0,0,0,0,0,0.011082788,0.064280173,0
"25","PG1_7","PG","10-Dec-07",39426,712,"u_con","c_rem","u_con.c_rem",0,0.14953271,0.014018692,0,0.077102804,0.002336449,0.247663551,0,0,0.014018692,0,0,0,0.221962617,0,0,0,0,0,0.007009346,0,0,0,0,0.102803738,0,0.130841121,0,0.002336449,0,0,0,0,0.002336449,0,0,0,0,0.002336449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002336449,0,0,0,0,0,0,0,0,0,0,0,0,0.007009346,0.01635514
