site,site.no,region,diss.mean,diss.sd,temp.mean,temp.sd,temp.se,temp.cv,temp.mean2,temp.sd2,temp.se2,temp.cv2
FI,11,sound,0.923290333,0.073027844,11.12304854,0.411674641,0.00930353,0.037010954,10.8161105,0.191151472,0.010046698,0.017672848
HH,10,sound,0.724856667,0.02098471,11.37411906,0.537927728,0.012156753,0.047294012,11.013,0.32470889,0.018067286,0.029484145
ON,5,channel,0.908364,0.09754114,11.21695095,1.034681965,0.023383016,0.092242711,10.46657764,0.400481099,0.022317939,0.038262851
PG,7,channel,1.4039255,0.06986144,10.78354931,0.608562121,0.013753036,0.056434306,10.36412384,0.294868194,0.016406905,0.028450856
RW,9,sound,0.620756667,0.046551155,11.45281553,0.839170209,0.018964601,0.073271957,11.05077882,0.471568213,0.026320371,0.042672849
SC,6,channel,1.117181333,0.136366203,10.76366377,0.606938707,0.013716348,0.056387743,10.30020062,0.248616182,0.01381201,0.024137023
TI,8,channel,1.164864667,0.104184543,10.64765457,0.501520252,0.011333972,0.047101477,10.27391421,0.235835766,0.012211113,0.022954812
WI,12,sound,0.771373667,0.064135212,11.2397394,0.481264506,0.010876208,0.04281812,10.84744505,0.212598536,0.011143191,0.01959895
