Region,Site,Site.no,Transect,Photo,Initials,space.raw,sedim.raw,space,sedim,space.per,sedim.per,richness,richplus,mob.count,mob.rich
Channel,ON,5,ON0,ON0_45,WG,39,12,0.24,0.08,24.38,7.50,11.00,13.00,4.00,3
Channel,ON,5,ON0,ON0_46,WG,34,0,0.21,0.00,21.25,0.00,12.00,14.00,3.00,3
Channel,ON,5,ON0,ON0_48,WG,42,0,0.26,0.00,26.25,0.00,11.00,13.00,1.00,1
Channel,ON,5,ON0,ON0_49,WG,40,0,0.25,0.00,25.00,0.00,10.00,12.00,1.00,1
Channel,ON,5,ON1,ON1_84,WG,59,0,0.37,0.00,36.88,0.00,7.00,9.00,1.00,1
Channel,ON,5,ON1,ON1_85,WG,36,0,0.23,0.00,22.50,0.00,8.00,9.00,0.00,0
Channel,ON,5,ON1,ON1_86,WG,33,0,0.21,0.00,20.63,0.00,6.00,8.00,3.00,2
Channel,ON,5,ON1,ON1_17,WG,49,0,0.31,0.00,30.63,0.00,6.00,8.00,0.00,0
Channel,ON,5,ON2,ON2_43,WG,75,0,0.47,0.00,46.88,0.00,10.00,12.00,1.00,1
Channel,ON,5,ON2,ON2_44,WG,66,0,0.41,0.00,41.25,0.00,9.00,11.00,2.00,2
Channel,ON,5,ON2,ON2_82,WG,31,12,0.19,0.08,19.38,7.50,8.00,10.00,6.00,5
Channel,ON,5,ON2,ON2_83,WG,68,0,0.43,0.00,42.50,0.00,8.00,10.00,6.00,1
Channel,ON,5,ON3,ON3_16,WG,37,0,0.23,0.00,23.13,0.00,12.00,14.00,7.00,5
Channel,ON,5,ON3,ON3_77,WG,44,0,0.28,0.00,27.50,0.00,11.00,13.00,6.00,5
Channel,ON,5,ON3,ON3_78,WG,49,0,0.31,0.00,30.63,0.00,15.00,17.00,4.00,3
Channel,ON,5,ON3,ON3_79,WG,32,0,0.20,0.00,20.00,0.00,11.00,13.00,3.00,2
Channel,ON,5,ON4,ON4_71,WG,29,21,0.18,0.13,18.13,13.13,13.00,15.00,8.00,5
Channel,ON,5,ON4,ON4_72,WG,39,10,0.24,0.06,24.38,6.25,11.00,13.00,7.00,5
Channel,ON,5,ON4,ON4_73,WG,34,8,0.21,0.05,21.25,5.00,11.00,13.00,0.00,0
Channel,ON,5,ON4,ON4_74,WG,26,14,0.16,0.09,16.25,8.75,11.00,13.00,3.00,3
Channel,ON,5,ON5,ON5_25,WG,20,9,0.13,0.06,12.50,5.63,12.00,14.00,0.00,0
Channel,ON,5,ON5,ON5_88,WG,25,0,0.16,0.00,15.63,0.00,10.00,12.00,1.00,1
Channel,ON,5,ON5,ON5_89,WG,12,6,0.08,0.04,7.50,3.75,11.00,13.00,0.00,0
Channel,ON,5,ON5,ON5_91,WG,13,4,0.08,0.03,8.13,2.50,10.00,12.00,4.00,2
Channel,PG,7,PG1,PG1_7,WG,39,0,0.24,0.00,24.38,0.00,15.00,17.00,4.00,2
Channel,PG,7,PG1,PG1_8,WG,42,0,0.26,0.00,26.25,0.00,10.00,12.00,3.00,3
Channel,PG,7,PG1,PG1_96,WG,52,0,0.33,0.00,32.50,0.00,11.00,12.00,2.00,2
Channel,PG,7,PG1,PG1_97,WG,17,0,0.11,0.00,10.63,0.00,10.00,11.00,1.00,1
Channel,PG,7,PG2,PG2_10,WG,28,0,0.18,0.00,17.50,0.00,10.00,12.00,2.00,2
Channel,PG,7,PG2,PG2_27,WG,37,0,0.23,0.00,23.13,0.00,10.00,12.00,2.00,2
Channel,PG,7,PG2,PG2_98,WG,54,0,0.34,0.00,33.75,0.00,9.00,11.00,2.00,1
Channel,PG,7,PG2,PG2_99,WG,42,0,0.26,0.00,26.25,0.00,9.00,11.00,5.00,4
Channel,PG,7,PG3,PG3_0,WG,68,0,0.43,0.00,42.50,0.00,11.00,13.00,14.00,4
Channel,PG,7,PG3,PG3_11,WG,98,0,0.61,0.00,61.25,0.00,9.00,11.00,12.00,5
Channel,PG,7,PG3,PG3_15,WG,50,0,0.31,0.00,31.25,0.00,10.00,12.00,11.00,5
Channel,PG,7,PG3,PG3_95,WG,48,0,0.30,0.00,30.00,0.00,12.00,14.00,9.00,2
Channel,PG,7,PG4,PG4_5,RE,86,0,0.54,0.00,53.75,0.00,2.00,4.00,9.00,2
Channel,PG,7,PG4,PG4_28,RE,41,0,0.26,0.00,25.63,0.00,5.00,7.00,2.00,1
Channel,PG,7,PG4,PG4_65,RE,32,0,0.20,0.00,20.00,0.00,10.00,12.00,9.00,3
Channel,PG,7,PG4,PG4_94,RE,60,0,0.38,0.00,37.50,0.00,4.00,6.00,21.00,5
Channel,PG,7,PG5,PG5_2,WG,64,0,0.40,0.00,40.00,0.00,12.00,14.00,15.00,7
Channel,PG,7,PG5,PG5_3,WG,56,0,0.35,0.00,35.00,0.00,11.00,13.00,8.00,4
Channel,PG,7,PG5,PG5_92,WG,108,0,0.68,0.00,67.50,0.00,5.00,7.00,28.00,6
Channel,PG,7,PG5,PG5_93,WG,68,0,0.43,0.00,42.50,0.00,10.00,12.00,17.00,7
Channel,PG,7,PG6,PG6_B,WG,71,0,0.44,0.00,44.38,0.00,7.00,9.00,22.00,4
Channel,PG,7,PG6,PG6_D,WG,56,0,0.35,0.00,35.00,0.00,12.00,14.00,20.00,6
Channel,PG,7,PG6,PG6_E,WG,73,0,0.46,0.00,45.63,0.00,7.00,9.00,7.00,2
Channel,PG,7,PG6,PG6_F,WG,62,0,0.39,0.00,38.75,0.00,9.00,11.00,18.00,4
Channel,SC,6,SC1,SC1_54,WG,33,0,0.21,0.00,20.63,0.00,11.00,13.00,6.00,4
Channel,SC,6,SC1,SC1_62,WG,37,0,0.23,0.00,23.13,0.00,12.00,14.00,3.00,2
Channel,SC,6,SC1,SC1_63,WG,31,0,0.19,0.00,19.38,0.00,10.00,12.00,3.00,2
Channel,SC,6,SC1,SC1_64,WG,41,0,0.26,0.00,25.63,0.00,10.00,12.00,2.00,2
Channel,SC,6,SC4,SC4_36,WG,12,0,0.08,0.00,7.50,0.00,19.00,20.00,0.00,0
Channel,SC,6,SC4,SC4_45,WG,27,0,0.17,0.00,16.88,0.00,13.00,14.00,0.00,0
Channel,SC,6,SC4,SC4_51,WG,26,0,0.16,0.00,16.25,0.00,19.00,21.00,3.00,3
Channel,SC,6,SC4,SC4_52,WG,29,0,0.18,0.00,18.13,0.00,14.00,15.00,1.00,1
Channel,SC,6,SC5,SC5_34,WG,50,0,0.31,0.00,31.25,0.00,16.00,18.00,3.00,3
Channel,SC,6,SC5,SC5_47,WG,16,0,0.10,0.00,10.00,0.00,10.00,12.00,2.00,2
Channel,SC,6,SC5,SC5_49,WG,31,0,0.19,0.00,19.38,0.00,15.00,17.00,3.00,2
Channel,SC,6,SC5,SC5_50z,WG,25,0,0.16,0.00,15.63,0.00,16.00,17.00,3.00,3
Channel,SC,6,SC6,SC6_14,WG,32,0,0.20,0.00,20.00,0.00,8.00,10.00,3.00,2
Channel,SC,6,SC6,SC6_18,WG,44,0,0.28,0.00,27.50,0.00,11.00,13.00,4.00,3
Channel,SC,6,SC6,SC6_21,WG,52,0,0.33,0.00,32.50,0.00,12.00,14.00,6.00,3
Channel,SC,6,SC6,SC6_33,WG,26,0,0.16,0.00,16.25,0.00,9.00,11.00,1.00,1
Channel,SC,6,SC7,SC7_2,WG,46,0,0.29,0.00,28.75,0.00,14.00,15.00,5.00,5
Channel,SC,6,SC7,SC7_3,WG,56,0,0.35,0.00,35.00,0.00,10.00,12.00,5.00,5
Channel,SC,6,SC7,SC7_4,WG,50,0,0.31,0.00,31.25,0.00,9.00,11.00,1.00,1
Channel,SC,6,SC7,SC7_5,WG,42,0,0.26,0.00,26.25,0.00,13.00,14.00,1.00,1
Channel,SC,6,SC8,SC8_37,WG,20,0,0.13,0.00,12.50,0.00,9.00,11.00,1.00,1
Channel,SC,6,SC8,SC8_38,WG,50,0,0.31,0.00,31.25,0.00,17.00,19.00,2.00,2
Channel,SC,6,SC8,SC8_39,WG,46,0,0.29,0.00,28.75,0.00,9.00,11.00,3.00,2
Channel,SC,6,SC8,SC8_40,WG,42,0,0.26,0.00,26.25,0.00,12.00,14.00,10.00,2
Channel,TI,8,TI1_61,P1010047,WG,66,0,0.41,0.00,41.25,0.00,11.00,13.00,7.00,6
Channel,TI,8,TI1_61,P1010048,WG,49,0,0.31,0.00,30.63,0.00,16.00,18.00,1.00,1
Channel,TI,8,TI1_61,P1010049,WG,35,0,0.22,0.00,21.88,0.00,17.00,19.00,2.00,2
Channel,TI,8,TI1_61,P1010050,WG,31,0,0.19,0.00,19.38,0.00,15.00,17.00,3.00,3
Channel,TI,8,TI2_60,P1010052,WG,26,0,0.16,0.00,16.25,0.00,16.00,17.00,1.00,1
Channel,TI,8,TI2_60,P1010053,WG,35,0,0.22,0.00,21.88,0.00,18.00,20.00,3.00,3
Channel,TI,8,TI2_60,P1010054,WG,33,0,0.21,0.00,20.63,0.00,15.00,17.00,4.00,4
Channel,TI,8,TI2_60,P1010055,WG,8,0,0.05,0.00,5.00,0.00,11.00,13.00,2.00,2
Channel,TI,8,TI3_49,P1010057,WG,47,0,0.29,0.00,29.38,0.00,14.00,15.00,3.00,2
Channel,TI,8,TI3_49,P1010058,WG,39,0,0.24,0.00,24.38,0.00,19.00,21.00,4.00,4
Channel,TI,8,TI3_49,P1010059,WG,63,0,0.39,0.00,39.38,0.00,22.00,24.00,5.00,3
Channel,TI,8,TI3_49,P1010060,WG,26,0,0.16,0.00,16.25,0.00,17.00,19.00,2.00,2
