Retention,Region,Reg,Site,Site.no,Transect,Photo,Initials,space.raw,sedim.raw,space,sedim,space.per,sedim.per,richness,richplus,mob.count,mob.rich
Low,Channel,B,SC,6,SC6,SC6_21,WG,52,0,0.33,0,32.5,0,12,14,6,3
Low,Channel,B,SC,6,SC6,SC6_33,WG,26,0,0.16,0,16.25,0,9,11,1,1
Low,Channel,B,SC,6,SC7,SC7_2,WG,46,0,0.29,0,28.75,0,14,15,5,5
Low,Channel,B,SC,6,SC7,SC7_3,WG,56,0,0.35,0,35,0,10,12,5,5
Low,Channel,B,SC,6,SC7,SC7_4,WG,50,0,0.31,0,31.25,0,9,11,1,1
Low,Channel,B,SC,6,SC7,SC7_5,WG,42,0,0.26,0,26.25,0,13,14,1,1
Low,Channel,B,SC,6,SC8,SC8_37,WG,20,0,0.13,0,12.5,0,9,11,1,1
Low,Channel,B,SC,6,SC8,SC8_38,WG,50,0,0.31,0,31.25,0,17,19,2,2
Low,Channel,B,SC,6,SC8,SC8_39,WG,46,0,0.29,0,28.75,0,9,11,3,2
Low,Channel,B,SC,6,SC8,SC8_40,WG,42,0,0.26,0,26.25,0,12,14,10,2
Low,Channel,B,TI,8,TI1_61,P1010047,WG,66,0,0.41,0,41.25,0,11,13,7,6
Low,Channel,B,TI,8,TI1_61,P1010048,WG,49,0,0.31,0,30.63,0,16,18,1,1
Low,Channel,B,TI,8,TI1_61,P1010049,WG,35,0,0.22,0,21.88,0,17,19,2,2
Low,Channel,B,TI,8,TI1_61,P1010050,WG,31,0,0.19,0,19.38,0,15,17,3,3
Low,Channel,B,TI,8,TI2_60,P1010052,WG,26,0,0.16,0,16.25,0,16,17,1,1
Low,Channel,B,TI,8,TI2_60,P1010053,WG,35,0,0.22,0,21.88,0,18,20,3,3
Low,Channel,B,TI,8,TI2_60,P1010054,WG,33,0,0.21,0,20.63,0,15,17,4,4
Low,Channel,B,TI,8,TI2_60,P1010055,WG,8,0,0.05,0,5,0,11,13,2,2
Low,Channel,B,TI,8,TI3_49,P1010057,WG,47,0,0.29,0,29.38,0,14,15,3,2
Low,Channel,B,TI,8,TI3_49,P1010058,WG,39,0,0.24,0,24.38,0,19,21,4,4
Low,Channel,B,TI,8,TI3_49,P1010059,WG,63,0,0.39,0,39.38,0,22,24,5,3
Low,Channel,B,TI,8,TI3_49,P1010060,WG,26,0,0.16,0,16.25,0,17,19,2,2
Low,Channel,B,TI,8,TI4_50,P1010063,WG,10,0,0.06,0,6.25,0,19,20,5,4
Low,Channel,B,TI,8,TI4_50,P1010064,WG,27,0,0.17,0,16.88,0,17,19,4,2
Low,Channel,B,TI,8,TI4_50,P1010065,WG,36,0,0.23,0,22.5,0,11,13,4,2
Low,Channel,B,TI,8,TI4_50,P1010066,WG,31,0,0.19,0,19.38,0,15,17,2,2
Low,Channel,B,TI,8,TI5_59,P1010068,WG,13,0,0.08,0,8.13,0,15,17,2,2
