"","Site","Average","SD"
"1","FI",0.923290333333333,0.0730278442878697
"2","HH",0.724856666666667,0.020984710299009
"3","ON",0.908364,0.0975411402639932
"4","PG",1.64303366666667,0.417083273100628
"5","RW",0.620756666666667,0.0465511554135161
"6","SC",1.11718133333333,0.136366203061218
"7","TI",1.16486466666667,0.104184543005828
"8","WI",0.771373666666667,0.0641352118912328
